package,stars,downloads,gallery,description,CRAN
ggResidpanel,NA,156339,NA,Panels and Interactive Versions of Diagnostic Plots using 'ggplot2',TRUE
ggsurvfit,3,155944,TRUE,Flexible Time-to-Event Figures,TRUE
ggupset,354,148759,TRUE,Combination Matrix Axis for 'ggplot2' to Create 'UpSet' Plots,TRUE
ggseqlogo,211,147591,TRUE,A 'ggplot2' Extension for Drawing Publication-Ready Sequence Logos,TRUE
ggThemeAssist,NA,137152,NA,Add-in to Customize 'ggplot2' Themes,TRUE
AMR,91,131900,TRUE,NA,NA
RcmdrPlugin.KMggplot2,NA,131449,NA,R Commander Plug-in for Data Visualization with 'ggplot2',TRUE
ggquickeda,NA,128933,NA,Quickly Explore Your Data Using 'ggplot2' and 'table1' Summary Tables,TRUE
gratia,NA,128933,NA,"Graceful 'ggplot'-Based Graphics and Other Functions for GAMs
Fitted Using 'mgcv'",TRUE
ggseas,74,116111,TRUE,'stats' for Seasonal Adjustment on the Fly with 'ggplot2',TRUE
ggraptR,NA,113434,NA,Allows Interactive Visualization of Data Through a Web Browser GUI,TRUE
geomtextpath,629,104425,TRUE,Curved Text in 'ggplot2',TRUE
ggeasy,274,103603,TRUE,Easy Access to 'ggplot2' Commands,TRUE
ggRandomForests,NA,102017,NA,Visually Exploring Random Forests,TRUE
ggplot2.utils,NA,101921,NA,Selected Utilities Extending 'ggplot2',TRUE
gginnards,24,100898,TRUE,Explore the Innards of 'ggplot2' Objects,TRUE
ggedit,250,99827,TRUE,Interactive 'ggplot2' Layer and Theme Aesthetic Editor,TRUE
ggjoy,NA,96685,NA,Joyplots in 'ggplot2',TRUE
jcolors,NA,95255,NA,"Colors Palettes for R and 'ggplot2', Additional Themes for
'ggplot2'",TRUE
gge,NA,95138,NA,Genotype Plus Genotype-by-Environment Biplots,TRUE
geofacet,340,89543,TRUE,'ggplot2' Faceting Utilities for Geographical Data,TRUE
ggpointdensity,422,82488,TRUE,A Cross Between a 2D Density Plot and a Scatter Plot,TRUE
ggplotgui,NA,79672,NA,Create Ggplots via a Graphical User Interface,TRUE
xkcd,NA,78658,NA,Plotting ggplot2 Graphics in an XKCD Style,TRUE
ggdark,199,78448,TRUE,Dark Mode for 'ggplot2' Themes,TRUE
ggpolypath,NA,76852,NA,Polygons with Holes for the Grammar of Graphics,TRUE
ggokabeito,NA,73409,NA,'Okabe-Ito' Scales for 'ggplot2' and 'ggraph',TRUE
ggspectra,5,70951,TRUE,Extensions to 'ggplot2' for Radiation Spectra,TRUE
ggparty,147,70246,TRUE,'ggplot' Visualizations for the 'partykit' Package,TRUE
sugrrants,82,67963,TRUE,NA,NA
